query,lat,lon
"Đường Nguyễn Thượng Hiền, Quận Phú Nhuận, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Bình Long, Quận Tân Phú, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Nguyễn Thị Thập, Quận 7, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Thanh Đa, Quận Bình Thạnh, Thành phố Hồ Chí Minh, Việt Nam",10.7797687,106.6990427
"Đường Nguyễn Tất Thành, Quận 4, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Nguyễn Tri Phương, Quận 5, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường 1A, Quận 12, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Nguyễn Hữu Thọ, Huyện Nhà Bè, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường D4, Quận 7, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Cống Quỳnh, Quận 1, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường 16 Kdc Ấp 5, Huyện Bình Chánh, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Lê Đình Cẩn, Quận Bình Tân, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Tân Hương, Quận Tân Phú, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Xô Viết Nghệ Tĩnh, Quận Bình Thạnh, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Cô Bắc, Quận 1, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Trần Khắc Chân, Quận 1, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Bùi Minh Trực, Quận 8, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Tô Hiến Thành, Quận 10, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Phan Đình Phùng, Quận Phú Nhuận, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Điện Biên Phủ, Quận 10, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Lê Trọng Tấn, Quận Tân Phú, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Tân Thuận Tây, Quận 7, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Nguyễn Văn Công, Quận Gò Vấp, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Nguyễn Giản Thanh, Quận 10, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Nguyễn Huy Tự, Quận 1, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Cách Mạng Tháng Tám, Quận 3, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Lý Chính Thắng, Quận 3, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Nguyễn Duy Dương, Quận 10, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường 28_ Đưường Lý Thái Tổ, Quận 10, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Bình Đông, Quận 8, Thành phố Hồ Chí Minh, Việt Nam",10.7508428,106.6728672
"Đường Nguyễn Thị Minh Khai, Quận 1, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường An Phú, Quận 2, Thành phố Hồ Chí Minh, Việt Nam",10.7999025,106.7422665
"Đường Lê Quang Định, Quận Bình Thạnh, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Điện Biên Phủ, Quận Bình Thạnh, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Số 14, Thành phố Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam",10.839171,106.7815226
"Đường Chu Văn An, Quận Bình Thạnh, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Vạn Kiếp, Quận Bình Thạnh, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Nguyễn Văn Trỗi, Quận Phú Nhuận, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Hà Huy Giáp, Quận 12, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Quốc Lộ, Quận 12, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Lạc Long Quân, Quận Tân Bình, Thành phố Hồ Chí Minh, Việt Nam",10.773806,106.6471276
"Đường Cộng Hòa, Quận Tân Bình, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Ni Sư Huỳnh Liên, Quận Tân Bình, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Tạ Quang Bửu, Quận 8, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Tám Danh, Quận 8, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Bình Giã, Quận Tân Bình, Thành phố Hồ Chí Minh, Việt Nam",10.773806,106.6471276
"Đường Trần Quang Diệu, Quận 3, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Số 6, Thành phố Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam",10.8254026,106.7270617
"Đường Huỳnh Lan Khanh, Quận Tân Bình, Thành phố Hồ Chí Minh, Việt Nam",10.8047752,106.6685417
"Đường Đặng Thuỳ Trâm, Quận Bình Thạnh, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Âu Cơ, Quận Tân Phú, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Út Tịch, Quận Tân Bình, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Trần Quang Khải, Quận 1, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Cao Lỗ, Quận 8, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Lũy Bán Bích, Quận Tân Phú, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Nguyễn Cửu Vân, Quận Bình Thạnh, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Trung Mỹ Tây 2A, Quận 12, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Bình Quới, Quận Bình Thạnh, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Nguyễn Oanh, Quận Gò Vấp, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Phan Văn Trị, Quận Gò Vấp, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Số 6, Quận Gò Vấp, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Dương Quảng Hàm, Quận Gò Vấp, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Nguyễn Thái Sơn, Quận Gò Vấp, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Số 9, Quận Gò Vấp, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Nguyễn Duy Trinh, Quận 2, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Nguyễn Kiệm, Quận Gò Vấp, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Cầu Khánh Hội, Quận 1, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Vườn Lài, Quận Tân Phú, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Trịnh Khắc Lập, Quận 2, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Số 4, Thành phố Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam",10.7778488,106.7592588
"Đường Võ Oanh, Quận Bình Thạnh, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường UNKNOWN, Quận Tân Phú, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Lê Đại Hành, Quận 11, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Lê Văn Sỹ, Quận 3, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Thăng Long, Quận Tân Bình, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường D5, Quận Bình Thạnh, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Nguyễn Chí Thanh, Quận 5, Thành phố Hồ Chí Minh, Việt Nam",10.7566964,106.6597263
"Đường Vành Đai Trong, Quận Bình Tân, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường An Phú Đông 13, Quận 12, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Lê Lợi, Quận Gò Vấp, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Trần Văn Quang, Quận Tân Bình, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Ca Văn Thỉnh, Quận Tân Bình, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Cầu Kinh Đưường Xô Viết Nghệ Tĩnh, Quận Bình Thạnh, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Phan Xích Long, Quận Phú Nhuận, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Số 1, Quận 7, Thành phố Hồ Chí Minh, Việt Nam",10.7164039,106.7346196
"Đường Gò Dầu, Quận Tân Phú, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Phạm Văn Hai, Quận Tân Bình, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Bàu Cát 2, Quận Tân Bình, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Lạc Long Quân, Quận 11, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Trần Quốc Tuấn, Quận Gò Vấp, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Phạm Ngũ Lão, Quận Gò Vấp, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Số, Thành phố Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam",10.8025936,106.744579
"Đường Cầu Xây 2, Quận 9, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Số 9, Quận 9, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Trần Thị Điệu, Quận 9, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Số 970, Quận 9, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Nguyễn Duy Trinh, Quận 9, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Linh Đông, Thành phố Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam",10.8504707,106.7484992
"Đường Nguyễn Trọng Tuyển, Quận Tân Bình, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường / Đưường Lê Văn Sỹ, Quận Phú Nhuận, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Tô Ký, Quận 12, Thành phố Hồ Chí Minh, Việt Nam",10.8547421,106.625473
"Đường Nguyễn Hữu Dật, Quận Tân Phú, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Bình Lợi, Quận Bình Thạnh, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Quang Trung, Quận Gò Vấp, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Thạnh Lộc, Quận 12, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường / Đưường Nguyễn Kiệm, Quận Phú Nhuận, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường / Đưường Nguyễn Kiệm, Quận Gò Vấp, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Hồ Văn Huê, Quận Phú Nhuận, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Bạch Đằng, Quận Bình Thạnh, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường / Đưường Hoàng Văn Thụ, Quận Phú Nhuận, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Vũ Tùng, Quận Bình Thạnh, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường / Đưường Thăng Long, Quận Tân Bình, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Thích Quảng Đức, Quận Phú Nhuận, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Khuông Việt, Quận Tân Phú, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Lý Phục Man, Quận 7, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Bàu Cát, Quận Tân Bình, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Tân Kỳ Tân Quý, Quận Tân Phú, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Số, Quận 2, Thành phố Hồ Chí Minh, Việt Nam",10.7901672,106.7333049
"Đường Phan Tây Hồ, Quận Phú Nhuận, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Nguyễn Hữu Thọ, Quận 7, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Số 34, Quận 7, Thành phố Hồ Chí Minh, Việt Nam",10.7164039,106.7346196
"Đường Bùi Đình Túy, Quận Bình Thạnh, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Số 44, Thành phố Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam",10.7860303,106.7787392
"Đường Cách Mạng Tháng Tám, Quận Tân Bình, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Phan Huy Ích, Quận Tân Bình, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Nguyễn Sỹ Sách, Quận Tân Bình, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Số, Quận Gò Vấp, Thành phố Hồ Chí Minh, Việt Nam",10.8374115,106.66991
"Đường Mai Lão Bạng Đưường Hoàng Hoa Thám, Quận Tân Bình, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Nguyễn Văn Khối, Quận Gò Vấp, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Dương Văn Dương, Quận Tân Phú, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Trường Chinh, Quận Tân Bình, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Nguyễn Ngọc Lộc, Quận 10, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Số 13, Thành phố Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam",10.7683209,106.7614216
"Đường Số 20, Thành phố Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam",10.8559426,106.7638202
"Đường Nguyễn Xí, Quận Bình Thạnh, Thành phố Hồ Chí Minh, Việt Nam",10.7797687,106.6990427
"Đường H Đưường Thới An 19, Quận 12, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Nguyễn Tư Giản, Quận Gò Vấp, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Tây Thạnh, Quận Tân Phú, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Nguyễn Minh Châu, Quận Tân Phú, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Phan Huy Ích, Quận Gò Vấp, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Lê Văn Lương, Quận 7, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Lê Văn Lương, Huyện Nhà Bè, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Trường Chinh, Quận 12, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Nguyễn Cửu Phú, Quận Bình Tân, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Tái Thiết, Quận Tân Bình, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Phưường, Quận Tân Bình, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Số 39, Quận 2, Thành phố Hồ Chí Minh, Việt Nam",10.7879587,106.7269814
"Đường Liên Khu 16-18, Quận Bình Tân, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Bưng Ông Thoàn, Quận 9, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Trần Văn Kỷ, Quận Bình Thạnh, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Lê Thị Hồng, Quận Gò Vấp, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Nguyễn Thị Định, Quận 2, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Mã Lò, Quận Bình Tân, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Trần Hữu Trang, Quận Phú Nhuận, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Đưường Số 1, Quận Gò Vấp, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Lê Đình Thám, Quận Tân Phú, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Tân Sơn Nhì, Quận Tân Phú, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Trương Công Định, Quận Tân Bình, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Đưường, Thành phố Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Nguyễn Văn Vĩnh, Quận Tân Bình, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Số 16A, Quận Bình Tân, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Xuân Thới Thượng 13, Huyện Hóc Môn, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Kp1 Đưường Bưng Ông Thoàn, Quận 9, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Số, Quận 9, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường ĐườNg3-2 Đưường Điện Biên Phủ, Quận 10, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Cao Thắng, Quận 3, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Bắc Hải, Quận 10, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Thạnh Mỹ Lợi, Quận 2, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Lê Văn Duyệt, Quận Bình Thạnh, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Tân Quy, Quận 7, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Hoàng Văn Thụ, Quận Phú Nhuận, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Mai Lão Bạng, Quận Tân Bình, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Đỗ Quang Đẩu, Quận 1, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Số, Huyện Bình Chánh, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Ung Văn Khiêm, Quận Bình Thạnh, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Kha Vạn Cân, Thành phố Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam",10.8264681,106.7123993
"Đường Phan Văn Sửu, Quận Tân Bình, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Hà Thị Khiêm, Quận 12, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Bình Long, Quận Bình Tân, Thành phố Hồ Chí Minh, Việt Nam",10.773806,106.6471276
"Đường Số 1 Cư Xá Đô Thành, Quận 3, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường / 14 Đưường Man Thiện, Quận 9, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Lê Hồng Phong, Quận 10, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Mai Văn Vĩnh, Quận 7, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Thạch Thị Thanh, Quận 1, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Lê Đức Thọ, Quận Gò Vấp, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Tân Thới Nhất 12, Quận 12, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Ký Con, Quận 1, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Đinh Tiên Hoàng, Quận 1, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Thủ Khoa Huân, Quận 1, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Redhome Dorm Đưường Số, Thành phố Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Hồng Lạc, Quận Tân Bình, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Hồ Hảo Hớn, Quận 1, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Nguyễn Văn Hưởng, Quận 2, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Nguyễn Văn Thương, Quận Bình Thạnh, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Tân Thới Nhất, Quận 12, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Nguyễn Phúc Chu, Quận Tân Bình, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Dương Bá Trạc, Quận 8, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Số 32, Quận 2, Thành phố Hồ Chí Minh, Việt Nam",10.7891469,106.7306518
"Đường C12, Quận Tân Bình, Thành phố Hồ Chí Minh, Việt Nam",10.8072214,106.6415671
"Đường Tân Chánh Hiệp, Quận 12, Thành phố Hồ Chí Minh, Việt Nam",10.8547421,106.625473
"Đường Thới An, Quận 12, Thành phố Hồ Chí Minh, Việt Nam",10.8677261,106.6395311
"Đường Trần Thị Năm, Quận 12, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Phưường, Quận 8, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Hậu Giang, Quận 6, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Trần Văn Kiểu, Quận 6, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Nguyễn Hồng Đào, Quận Tân Bình, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Hoàng Việt, Quận Tân Bình, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Trần Thị Hè, Quận 12, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Tân Thới Hiệp 21, Quận 12, Thành phố Hồ Chí Minh, Việt Nam",10.8677261,106.6395311
"Đường Nguyễn Thị Tú, Quận Bình Tân, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Gia Phú, Quận 6, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Lò Gốm, Quận 6, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Gò Xoài, Quận Bình Tân, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Hoàng Hoa Thám, Quận Bình Thạnh, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Lâm Văn Bền, Quận 7, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Phan Văn Trị, Quận Bình Thạnh, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Hoàng Sa, Quận 3, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Số 20, Quận Gò Vấp, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Quách Văn Tuấn, Quận Tân Bình, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Phan Văn Hớn, Quận 12, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Ngô Bệ, Quận Tân Bình, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Tôn Thất Thuyết, Quận 4, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Số 183, Huyện Củ Chi, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Nguyễn Văn Vịnh, Quận Tân Phú, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Nguyễn Hới, Quận Bình Tân, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Lê Thị Riêng, Quận 12, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Phạm Văn Đồng, Thành phố Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam",10.8534381,106.7512463
"Đường Hoàng Diệu, Quận 4, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Trần Đình Xu, Quận 1, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Số, Quận 10, Thành phố Hồ Chí Minh, Việt Nam",10.8374115,106.66991
